Crash_Key, WZ_Related, WZ_Loc, WZ_Type, Workers
2001047548, 1, 4, 1, 1
2001047632, 1, 4, 1, 1
2001047734, 1, 8, 1, 2
2001047808, 1, 4, 3, 2
2001047967, 1, 3, 1, 2
2001048008, 1, 1, 2, 2
2001048040, 1, 3, 1, 2
2001048041, 1, 4, 3, 1
2001048083, 1, 2, 2, 2
2001048125, 1, 1, 8, 1
2001048231, 1, 4, 1, 1
2001048264, 1, 4, 1, 1
2001048403, 1, 9, 9, 9
2001048517, 1, 77, 77, 77
2001048527, 1, 2, 1, 2
2001048618, 1, 4, 3, 1
2001048680, 1, 8, 2, 1
2001048993, 1, 1, 8, 2
2001049026, 1, 3, 2, 2
2001049069, 1, 2, 1, 2
2001049071, 1, 2, 1, 2
2001049188, 1, 4, 1, 2
2001049220, 1, 4, 1, 1
2001049232, 1, 1, 1, 2
2001049243, 1, 4, 3, 1
2001049369, 1, 4, 1, 1
2001049416, 1, 4, 1, 1
2001049479, 1, 4, 3, 9
2001049610, 1, 4, 1, 1
2001049631, 1, 4, 2, 2
2001049894, 1, 3, 1, 2
2001050038, 1, 1, 1, 2
2001050346, 1, 4, 3, 2
2001050370, 1, 3, 8, 2
2001050702, 1, 2, 1, 2
2001050721, 1, 3, 1, 2
2001050750, 1, 2, 1, 2
2001050789, 1, 2, 4, 1
2001050797, 1, 1, 2, 1
2001051038, 1, 4, 3, 1
2001051161, 1, 2, 2, 2
2001051210, 1, 4, 3, 1
2001051351, 1, 4, 3, 1
2001051437, 1, 3, 4, 1
2001051764, 1, 4, 1, 1
2001052077, 1, 2, 3, 2
2001052086, 1, 4, 1, 2
2001052154, 1, 5, 3, 2
2001052201, 1, 3, 8, 2
2001052258, 1, 4, 3, 1
2001052281, 1, 3, 1, 1
2001052495, 1, 2, 9, 9
2001052535, 1, 3, 1, 2
2001052812, 1, 2, 1, 1
2001053028, 1, 1, 1, 2
2001053237, 1, 4, 8, 2
2001053385, 1, 1, 1, 2
2001053695, 1, 3, 2, 2
2001053875, 1, 4, 3, 1
2001053965, 1, 4, 1, 9
2001054194, 1, 4, 1, 1
2001054380, 1, 4, 3, 1
2001054388, 1, 8, 8, 1
2001054463, 1, 5, 2, 2
2001054525, 1, 4, 3, 1
2001054650, 1, 4, 3, 9
2001055384, 1, 8, 3, 1
2001055405, 1, 3, 2, 2
2001055444, 1, 1, 1, 9
2001055483, 1, 2, 2, 9
2001055716, 1, 4, 1, 1
2001056095, 1, 4, 2, 2
2001056359, 1, 8, 8, 2
2001056453, 1, 4, 8, 1
2001056658, 1, 4, 1, 2
2001057209, 1, 1, 1, 9
2001057295, 1, 8, 8, 1
2001057489, 1, 1, 2, 2
2001058258, 1, 4, 3, 2
2001058492, 1, 2, 8, 2
2001058945, 1, 2, 2, 2
2001059119, 1, 9, 8, 2
2001059564, 1, 4, 3, 1
2001059565, 1, 4, 8, 2
2001059880, 1, 4, 1, 2
2001061728, 1, 2, 3, 1
2001061783, 1, 8, 8, 2
2001061957, 1, 4, 3, 1
2001063863, 1, 3, 2, 2
2001064298, 1, 8, 8, 2
2001064415, 1, 4, 8, 1
2002001209, 1, 2, 1, 1
2002002109, 1, 4, 8, 2
2002002203, 1, 4, 8, 2
2002002346, 1, 3, 2, 2
2002003044, 1, 3, 1, 1
